source_ip,destination_ip,source_port,destination_port,protocol,start_time,end_time,bytes_sent,bytes_received,packets_sent,packets_received,session_id,domain,url_count,duration_seconds,flags
192.168.1.10,93.184.216.34,54321,80,TCP,2026-02-27T08:01:10,2026-02-27T08:01:20,2048,15360,12,45,sess-001,example.com,2,10.0,[]
10.0.0.55,93.184.216.34,60001,80,TCP,2026-02-27T08:02:00,2026-02-27T08:02:10,512,1024,8,12,sess-002,example.com,3,10.0,[]
10.0.0.55,93.184.216.34,60002,80,TCP,2026-02-27T08:02:10,2026-02-27T08:02:15,256,512,5,8,sess-003,example.com,0,5.0,[]
10.0.0.55,93.184.216.34,60003,80,TCP,2026-02-27T08:02:15,2026-02-27T08:02:20,256,512,5,8,sess-004,example.com,0,5.0,[]
172.16.0.200,93.184.216.34,55000,80,TCP,2026-02-27T08:03:40,2026-02-27T08:04:00,4096,2048,30,20,sess-005,example.com,5,20.0,[]
45.33.32.156,93.184.216.34,44444,80,TCP,2026-02-27T08:04:55,2026-02-27T08:05:10,8192,4096,50,30,sess-006,example.com,4,15.0,[]
192.168.1.20,93.184.216.34,56789,80,TCP,2026-02-27T08:09:58,2026-02-27T08:10:15,3072,20480,20,80,sess-007,example.com,3,17.0,[]
198.51.100.7,93.184.216.34,61000,80,TCP,2026-02-27T08:14:58,2026-02-27T08:15:05,1024,3072,15,25,sess-008,example.com,3,7.0,[]
192.168.1.10,8.8.8.8,54400,53,UDP,2026-02-27T08:01:08,2026-02-27T08:01:09,64,128,1,2,sess-009,dns.google,0,1.0,[]
10.0.0.55,8.8.8.8,60100,53,UDP,2026-02-27T08:01:58,2026-02-27T08:01:59,64,128,1,2,sess-010,dns.google,0,1.0,[]
